country_name,country_name_2,region,country_code,currency,capital_city,most_recent_GDP_USD (m),GDP_USD (2023) (m),GDP_USD (2022) (m),population_size (2023) (m),,
Iraq,,Asia,IRQ,IQD,Baghdad,250842.78,250842.78,286640.34,45.50,,
Israel,,Asia,ISR,ILS,Jerusalem,509901.50,509901.50,525002.45,9.76,,
Japan,,Asia,JPN,JPY,Tokyo,4212945.16,4212945.16,4256410.76,124.52,,
Jordan,,Asia,JOR,JOD,Amman,50813.64,50813.64,48653.38,11.34,,
Kazakhstan,,Asia,KAZ,KZT,Nur-Sultan,261421.12,261421.12,225496.33,19.90,,
Kuwait,,Asia,KWT,KWD,Kuwait City,161772.22,161772.22,182809.48,4.31,,
Kyrgyzstan,Kyrgyz Republic,Asia,KGZ,KGS,Bishkek,13987.63,13987.63,12134.93,7.10,,
Laos,Lao PDR,Asia,LAO,LAK,Vientiane,15843.16,15843.16,15468.79,7.63,,
Lebanon,,Asia,LBN,LBP,Beirut,20992.42,0.00,20992.42,5.35,,
Malaysia,,Asia,MYS,MYR,Kuala Lumpur,399648.83,399648.83,407027.45,34.31,,
Maldives,,Asia,MDV,MVR,Male,6600.00,6600.00,6170.64,0.52,,
Mongolia,,Asia,MNG,MNT,Ulaanbaatar,19872.18,19872.18,17146.47,3.45,,
Myanmar,,Asia,MMR,MMK,Naypyidaw,64815.03,64815.03,62253.05,54.58,,
Nepal,,Asia,NPL,NPR,Kathmandu,40908.07,40908.07,41182.94,30.90,,
North Korea,"Korea, Dem. People's Rep.",Asia,PRK,KPW,Pyongyang,0.00,0.00,0.00,26.16,,
Oman,,Asia,OMN,OMR,Muscat,108192.46,108192.46,114667.36,4.64,,
Pakistan,,Asia,PAK,PKR,Islamabad,338368.46,338368.46,374787.96,240.49,,
Philippines,,Asia,PHL,PHP,Manila,437146.37,437146.37,404353.37,117.34,,
Qatar,,Asia,QAT,QAR,Doha,235770.40,0.00,235770.40,2.72,,
Saudi Arabia,,Asia,SAU,SAR,Riyadh,1067582.93,1067582.93,1108571.47,36.95,,
Singapore,,Asia,SGP,SGD,Singapore,501427.50,501427.50,498474.54,5.92,,
South Korea,"Korea, Rep.",Asia,KOR,KRW,Seoul,1712792.85,1712792.85,1673916.51,51.71,,
Sri Lanka,,Asia,LKA,LKR,Sri Jayawardenepura Kotte,84356.86,84356.86,74144.88,22.04,,
Syria,Syrian Arab Republic,Asia,SYR,SYP,Damascus,0.00,0.00,0.00,23.23,,
Taiwan,,Asia,ROC,TWD,Taipei,751000.00,751000.00,0.00,23.35,,
Tajikistan,,Asia,TJK,TJS,Dushanbe,12060.60,12060.60,10713.53,10.14,,
Thailand,,Asia,THA,THB,Bangkok,514944.99,514944.99,495645.21,71.80,,
Timor-Leste,,Asia,TLS,USD,Dili,2243.14,2243.14,3204.75,1.36,,
Turkey,Turkiye,Asia,TUR,TRY,Ankara,1108022.37,1108022.37,907118.44,85.33,,
Turkmenistan,,Asia,TKM,TMT,Ashgabat,59887.33,59887.33,56542.86,6.52,,
United Arab Emirates,,Asia,ARE,AED,Abu Dhabi,504173.45,504173.45,507063.97,9.52,,
Uzbekistan,,Asia,UZB,UZS,Tashkent,90889.15,90889.15,81140.82,36.41,,
Vietnam,Viet Nam,Asia,VNM,VND,Hanoi,429716.97,429716.97,410324.03,98.86,,
Yemen,"Yemen, Rep.",Asia,YEM,YER,Sana'a,0.00,0.00,0.00,34.45,,
Hong Kong,"Hong Kong SAR, China",Asia,HKG,HKD,Hong Kong,382054.57,382054.57,358696.26,7.54,,
Macau,"Macao SAR, China",Asia,MAC,MOP,Macau,47061.84,47061.84,24464.72,0.70,,
Albania,,Europe,ALB,ALL,Tirana,22977.68,22977.68,18916.38,2.75,,
Andorra,,Europe,AND,EUR,Andorra la Vella,3727.67,3727.67,3380.60,0.08,,
Austria,,Europe,AUT,EUR,Vienna,516034.14,516034.14,470941.93,9.13,,
Belarus,,Europe,BLR,BYN,Minsk,71857.38,71857.38,73775.18,9.18,,
Belgium,,Europe,BEL,EUR,Brussels,632216.58,632216.58,583613.98,11.82,,
Bosnia and Herzegovina,,Europe,BIH,BAM,Sarajevo,27054.89,27054.89,24534.66,3.21,,
Bulgaria,,Europe,BGR,BGN,Sofia,101584.38,101584.38,90346.17,6.43,,
Croatia,,Europe,HRV,EUR,Zagreb,82688.84,82688.84,71997.07,3.85,,
Cyprus,,Europe,CYP,EUR,Nicosia,32229.62,32229.62,29250.53,1.26,,
Czech Republic,Czechia,Europe,CZE,CZK,Prague,330858.34,330858.34,290565.65,10.87,,
Denmark,,Europe,DNK,DKK,Copenhagen,404198.76,404198.76,400167.20,5.95,,
Estonia,,Europe,EST,EUR,Tallinn,40744.85,40744.85,37921.48,1.37,,
Finland,,Europe,FIN,EUR,Helsinki,300187.20,300187.20,281887.43,5.58,,
France,,Europe,FRA,EUR,Paris,3030904.09,3030904.09,2779092.24,68.17,,
Georgia,,Europe,GEO,GEL,Tbilisi,30535.53,30535.53,24984.57,3.76,,
Germany,,Europe,DEU,EUR,Berlin,4456081.02,4456081.02,4082469.49,84.48,,
Greece,,Europe,GRC,EUR,Athens,238206.31,238206.31,217581.32,10.36,,
Hungary,,Europe,HUN,HUF,Budapest,212388.91,212388.91,177006.13,9.59,,
Iceland,,Europe,ISL,ISK,Reykjavik,31020.03,31020.03,28701.83,0.39,,
Ireland,,Europe,IRL,EUR,Dublin,545629.45,545629.45,533140.01,5.26,,
Italy,,Europe,ITA,EUR,Rome,2254851.21,2254851.21,2066972.10,58.76,,
Kosovo,,Europe,XKX,EUR,Pristina,10438.35,10438.35,9354.90,1.76,,
Latvia,,Europe,LVA,EUR,Riga,43627.08,43627.08,40422.52,1.88,,
Liechtenstein,,Europe,LIE,CHF,Vaduz,7364.65,0.00,7364.65,0.04,,
Lithuania,,Europe,LTU,EUR,Vilnius,77836.40,77836.40,71013.95,2.87,,
Luxembourg,,Europe,LUX,EUR,Luxembourg,85755.01,85755.01,81641.81,0.67,,
Malta,,Europe,MLT,EUR,Valletta,20957.00,20957.00,18357.07,0.55,,
Moldova,,Europe,MDA,MDL,Chisinau,16539.44,16539.44,14510.49,2.49,,
Monaco,,Europe,MCO,EUR,Monaco,8784.00,0.00,8784.00,0.04,,
Montenegro,,Europe,MNE,EUR,Podgorica,7404.54,7404.54,6229.80,0.62,,
Netherlands,,Europe,NLD,EUR,Amsterdam,1118124.75,1118124.75,1009398.72,17.88,,
North Macedonia,,Europe,MKD,MKD,Skopje,14761.24,14761.24,13711.47,1.81,,
Norway,,Europe,NOR,NOK,Oslo,485513.32,485513.32,593726.97,5.52,,
Poland,,Europe,POL,PLN,Warsaw,811229.10,811229.10,689763.33,36.69,,
Portugal,,Europe,PRT,EUR,Lisbon,287080.01,287080.01,255196.66,10.53,,
Romania,,Europe,ROU,RON,Bucharest,351002.58,351002.58,298891.52,19.06,,
Russia,Russian Federation,Europe,RUS,RUB,Moscow,2021421.48,2021421.48,2266029.24,143.83,,
San Marino,,Europe,SMR,EUR,San Marino,0.00,0.00,0.00,0.03,,
Serbia,,Europe,SRB,RSD,Belgrade,75187.13,75187.13,63563.41,6.62,,
Slovakia,Slovak Republic,Europe,SVK,EUR,Bratislava,132793.62,132793.62,115584.74,5.43,,
Slovenia,,Europe,SVN,EUR,Ljubljana,68216.78,68216.78,60063.48,2.12,,
Spain,,Europe,ESP,EUR,Madrid,1580694.71,1580694.71,1417800.47,48.37,,
Sweden,,Europe,SWE,SEK,Stockholm,593267.70,593267.70,590409.59,10.54,,
Switzerland,,Europe,CHE,CHF,Bern,884940.40,884940.40,818426.55,8.85,,
Ukraine,,Europe,UKR,UAH,Kyiv,178757.02,178757.02,161989.52,37.00,,
United Kingdom,,Europe,GBR,GBP,London,3340032.38,3340032.38,3088839.76,68.35,,
Argentina,,South America,ARG,ARS,Buenos Aires,640591.41,640591.41,631133.38,46.65,,
Bolivia,,South America,BOL,BOB,Sucre,45849.83,45849.83,44008.28,12.39,,
Brazil,,South America,BRA,BRL,Brasilia,2173665.66,2173665.66,1951923.94,216.42,,
Chile,,South America,CHL,CLP,Santiago,335533.33,335533.33,302116.54,19.63,,
Colombia,,South America,COL,COP,Bogota,363540.16,363540.16,345329.88,52.09,,
Ecuador,,South America,ECU,USD,Quito,118844.83,118844.83,116586.08,18.19,,
Guyana,,South America,GUY,GYD,Georgetown,16786.30,16786.30,14718.39,0.81,,
Paraguay,,South America,PRY,PYG,Asuncion,42956.26,42956.26,41952.91,6.86,,
Peru,,South America,PER,PEN,Lima,267603.25,267603.25,246488.76,34.35,,
Suriname,,South America,SUR,SRD,Paramaribo,3782.44,3782.44,3620.99,0.62,,
Uruguay,,South America,URY,UYU,Montevideo,77240.83,77240.83,70164.68,3.42,,
Venezuela,"Venezuela, RB",South America,VEN,VES,Caracas,0.00,0.00,0.00,28.84,,
Australia,,Oceania,AUS,AUD,Canberra,1723827.22,1723827.22,1692956.65,26.64,,
Fiji,,Oceania,FJI,FJD,Suva,5494.80,5494.80,4979.98,0.94,,
Kiribati,,Oceania,KIR,AUD,South Tarawa,279.03,279.03,270.52,0.13,,
Marshall Islands,,Oceania,MHL,USD,Majuro,284.00,284.00,258.77,0.04,,
Nauru,,Oceania,NRU,AUD,Yaren,154.13,154.13,153.82,0.01,,
New Zealand,,Oceania,NZL,NZD,Wellington,253465.70,253465.70,246733.52,5.22,,
Palau,,Oceania,PLW,USD,Ngerulmud,263.02,263.02,242.33,0.02,,
Papua New Guinea,,Oceania,PNG,PGK,Port Moresby,30932.50,30932.50,31603.62,10.33,,
Samoa,,Oceania,WSM,WST,Apia,934.10,934.10,832.95,0.23,,
Solomon Islands,,Oceania,SLB,SBD,Honiara,1631.29,1631.29,1566.36,0.74,,
Tuvalu,,Oceania,TUV,AUD,Funafuti,62.28,62.28,59.07,0.01,,
Vanuatu,,Oceania,VUT,VUV,Port Vila,1126.31,1126.31,1022.22,0.33,,
Antigua and Barbuda,,North America,ATG,XCD,St. John's,2033.09,2033.09,1867.73,0.09,,
Bahamas,"Bahamas, The",North America,BHS,BSD,Nassau,14338.50,14338.50,13136.40,0.41,,
Barbados,,North America,BRB,BBD,Bridgetown,6393.56,6393.56,5840.67,0.28,,
Belize,,North America,BLZ,BZD,Belmopan,3281.50,3281.50,2830.51,0.41,,
Canada,,North America,CAN,CAD,Ottawa,2140085.57,2140085.57,2161483.37,40.10,,
Costa Rica,,North America,CRI,CRC,San José,86497.94,86497.94,69243.63,5.21,,
Cuba,,North America,CUB,CUP,Havana,0.00,0.00,0.00,11.19,,
Dominica,,North America,DMA,XCD,Roseau,653.99,653.99,607.16,0.07,,
Dominican Republic,,North America,DOM,DOP,Santo Domingo,121444.28,121444.28,113537.37,11.33,,
El Salvador,,North America,SLV,USD,San Salvador,34015.62,34015.62,31988.92,6.36,,
Grenada,,North America,GRD,XCD,St. George's,1320.33,1320.33,1224.58,0.13,,
Guatemala,,North America,GTM,GTQ,Guatemala City,102050.47,102050.47,95003.33,17.60,,
Haiti,,North America,HTI,HTG,Port-au-Prince,19850.83,19850.83,20253.55,11.72,,
Honduras,,North America,HND,HNL,Tegucigalpa,34400.51,34400.51,31426.04,10.59,,
Jamaica,,North America,JAM,JMD,Kingston,19423.36,19423.36,17097.76,2.83,,
Mexico,,North America,MEX,MXN,Mexico City,1788886.82,1788886.82,1463323.89,128.46,,
Nicaragua,,North America,NIC,NIO,Managua,17829.22,17829.22,15649.93,7.05,,
Panama,,North America,PAN,PAB,Panama City,83382.40,83382.40,76522.51,4.47,,
Trinidad and Tobago,,North America,TTO,TTD,Port of Spain,28139.94,28139.94,30053.58,1.53,,
United States,,North America,USA,USD,"Washington, D.C.",27360935.00,27360935.00,25744108.00,334.91,,
