indicator_code,AONIA,CALL_RATE,CHINA_FR001,CORRA,EONIA,ESTER,FFER,NOWA,SARON,SONIA
AONIA,1.0,0.5290727094993931,0.17290108568536106,0.5901256565087476,0.9204495589544772,0.9649988039066034,0.4541806959112929,0.8383187877411848,0.7529642820980883,0.6055420066173768
CALL_RATE,0.5290727094993931,1.0,0.004658726362078275,0.31131188227962053,0.5472414627392019,0.3658758459765992,0.3170882864948313,0.6125378655717433,0.2718867498208251,0.4140541624023096
CHINA_FR001,0.17290108568536106,0.004658726362078275,1.0,-0.07782387141811431,-0.05241453498182621,-0.05524816894459913,-0.1829904713218098,-0.19072043810235484,-0.10461996801304047,-0.15637240390107537
CORRA,0.5901256565087476,0.31131188227962053,-0.07782387141811431,1.0,0.882622459108209,0.9351489181229291,0.9354570684797293,0.8731398079460925,0.831417723959408,0.9186754100378339
EONIA,0.9204495589544772,0.5472414627392019,-0.05241453498182621,0.882622459108209,1.0,0.9999999999999999,0.7495651485069752,0.8044211689920181,0.8404869871414162,0.9338199582932525
ESTER,0.9649988039066034,0.3658758459765992,-0.05524816894459913,0.9351489181229291,0.9999999999999999,1.0,0.9621420508711263,0.9355781464118917,0.955389256529457,0.981779136060806
FFER,0.4541806959112929,0.3170882864948313,-0.1829904713218098,0.9354570684797293,0.7495651485069752,0.9621420508711263,1.0,0.8390214619874478,0.6927516743128671,0.8526187013946556
NOWA,0.8383187877411848,0.6125378655717433,-0.19072043810235484,0.8731398079460925,0.8044211689920181,0.9355781464118917,0.8390214619874478,1.0,0.8578425864995514,0.9373782887366542
SARON,0.7529642820980883,0.2718867498208251,-0.10461996801304047,0.831417723959408,0.8404869871414162,0.955389256529457,0.6927516743128671,0.8578425864995514,1.0,0.8275159571873536
SONIA,0.6055420066173768,0.4140541624023096,-0.15637240390107537,0.9186754100378339,0.9338199582932525,0.981779136060806,0.8526187013946556,0.9373782887366542,0.8275159571873536,1.0
