indicator_code,mean,std,avg_corr,avg_abs_corr
AONIA,2.3325272678903968,1.4681476882909719,0.647617065213614,0.647617065213614
CALL_RATE,0.07695274274426378,0.15477534670865126,0.37485863234962247,0.37485863234962247
CHINA_FR001,2.130610828025478,0.751994703671373,-0.07140333829282008,0.11086107430336216
CORRA,2.255572185824896,1.6749197167705838,0.6888972283360507,0.7061914219845206
EONIA,1.3688469509087817,1.7120362555099582,0.7362435787504137,0.7478912531908196
ESTER,1.2210843450479232,1.8339144853096827,0.7828515543260903,0.7951289252026679
FFER,2.1084135399673736,2.0736686509112268,0.6244260685152351,0.6650906176978596
NOWA,1.5890030977189524,1.4136678964307183,0.7230575195315809,0.765439839109882
SARON,-0.14799316406250002,0.6879115114404658,0.6584039166151029,0.6816527983957785
SONIA,2.521489948415623,2.212432482608096,0.7016679129810185,0.7364173360701464
